framework,files,language,blank,comment,code
Angular,5,Javascript,25,19,85
Angular,1,HTML,1,3,70
Agility,2,Javascript,8,15,194
Agility,1,HTML,0,3,56
Backbone,6,Javascript,70,58,207
Backbone,1,HTML,0,3,64
Canjs,3,Javascript,25,28,124
Canjs,2,HTML,4,3,65
Closure,9,Javascript,99,370,504
Closure,2,HTML,5,8,87
Dojo,15,Javascript,123,438,513
Dojo,2,HTML,4,19,78
Emberjs,8,Javascript,51,13,323
Emberjs,1,HTML,0,5,75
JQuery,1,Javascript,5,4,148
JQuery,1,HTML,0,3,52
Knockback,4,Javascript,24,4,191
Knockback,4,CoffeeScript,18,21,71
Knockback,1,HTML,2,5,63
Knockout,1,Javascript,26,28,115
Knockout,1,HTML,0,3,62
Spine,3,Javascript,49,10,213
Spine,3,CoffeeScript,25,4,111
Spine,1,HTML,0,3,64
YUI,4,Javascript,63,65,284
YUI,1,HTML,0,3,89
Batman,1,HTML,0,3,70
Batman,1,CoffeeScript,18,0,69
Cujo,11,Javascript,62,82,288
Cujo,5,HTML,0,7,60
Derby,4,CoffeeScript,33,18,100
Derby,3,HTML,12,14,78
Derby,3,Javascript,2,1,23
Derby,1,make,1,0,6
Dermis,7,Javascript,11,5,159
Dermis,1,HTML,1,3,62
Dijon,8,Javascript,40,51,277
Dijon,1,HTML,0,3,56
Duel,2,Javascript,54,29,223
Duel,2,XML,17,9,153
Duel,6,HTML,15,6,95
Epitome,6,Javascript,96,82,253
Epitome,1,HTML,0,6,63
Extjs,9,Javascript,41,5,273
Extjs,1,HTML,0,4,28
Maria,19,Javascript,4,51,367
Maria,1,HTML,6,0,36
Meteor,1,Javascript,35,48,114
Meteor,1,HTML,4,0,62
Montage,4,Javascript,59,0,276
Montage,3,HTML,19,0,227
o_O,1,Javascript,34,13,133
o_O,1,HTML,0,3,56
Olives,4,Javascript,45,41,125
Olives,1,HTML,0,3,52
Plastronjs,6,Javascript,71,89,209
Plastronjs,2,HTML,4,4,73
Puremvc,12,Javascript,97,145,556
Puremvc,1,HTML,11,14,63
Rappidjs,3,Javascript,38,18,167
Rappidjs,2,XML,16,4,128
Rappidjs,1,HTML,0,3,22
Sammyjs,1,Javascript,39,25,138
Sammyjs,5,HTML,10,3,59
Socketstream,4,Javascript,22,19,191
Socketstream,3,HTML,0,0,41
Somajs,4,Javascript,70,1,255
Somajs,1,HTML,0,3,53
Stapes,4,Javascript,51,3,230
Stapes,1,HTML,2,0,62
Thorax,7,Javascript,51,68,188
Thorax,1,HTML,1,3,79
Troopjs,10,Javascript,60,38,321
Troopjs,2,HTML,0,10,58
Vanilla-JS,1,Javascript,70,7,235
Vanilla-JS,1,HTML,0,3,34
HardCoded,1,HTML,2,3,29
